total_number_routes=118
total_route_len=4598582.996
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
15 22320.839 1278 4001-451-3788-447-3138-443-1799-1717-1554-2639-2365-3039-530-3245-2832-3069-1971-2633-1480--4001
16 33053.581 1277 4001-467-93-2025-3089-1749-2341-3770-3490-3879-118-2335-1522-1985-3854-2010-3553-1268-2083-3904-2855-2458-498--4001
17 18351.504 922 4001-469-2304-12-3319-3682-1638-1832-3840-1205-2108-76-253-2894-2290-3280-1946-1818-3202--4001
18 54661.715 1938 4001-518-3297-1018-122-3038-2346-426-2343-1257-3605-1098-3891-508-2668-2908-500-82-669-864-2260-1314-339-1204-3615-2145-526-648-1828-3053-2810-2483-3404-1905-2405-14-2339-894-1893-1722-1032-1978-3502--4001
19 37652.891 1804 4001-565-1797-377-3413-3752-709-1021-8-1156-1477-1834-2071-676-1803-1577-3836-306-3968-3650-2129-458-2150-551-2228-355-1817-1696-288-3140-2063-1266-977-49-804-240-1180-2397-1153-522-336-1840-2176-3291--4001
20 31928.397 1896 4001-606-1392-1383-1977-1574-1723-554-2957-929-3767-462-79-588-3860-136-1884-1966-3077-3066-543-3766-1958-881-1973-2529-338-845-1623-3000-3547-3408-743-334-3790-3833-3584--4001
21 52631.393 1890 4001-625-1496-2403-1875-1330-1340-3658-2485-829-57-1880-1930-3022-2363-3168-3809-538-375-3195-3602-2471-556-1700-2268-3306-2682-34-1761-2257-2813-1662--4001
22 8678.767 568 4001-641-133-721-2465-60-1576-2620-719--4001
23 41158.909 1784 4001-645-754-1168-3515-1906-3970-3576-1709-292-109-2061-2185-2576-1106-3756-740-1798-780-3959-3376-2506-9-1665-2904-1461-3786-400-2838-1901-2315-3146-1886--4001
24 40611.671 1382 4001-668-25-984-3310-1278-946-2159-2787-1827-3841-1444-2187-3095-1644-1015-3269-3059-3367-1548-2425-219-3026-505-2786-1399-1925-2627--4001
25 33874.068 1911 4001-672-2295-1465-3556-1328-1398-2861-2635-1307-986-3373-1994-309-3521-1617-1299-188-1783-3353-3063-607-2809-2631-2545-646-3800-1415-797-792-2889-3370-1246-2020-3090-2816-1469-970--4001
26 40378.250 1172 4001-688-2455-1681-892-1054-2121-494-2252-3148-3732-3018-2767-2977-1822-1863-2120-716-863-1356-2616-774-1201-1324--4001
27 47181.346 1926 4001-703-3467-2874-3126-3987-209-1238-3930-2320-2481-925-2399-535-1565-2754-3694-2050-1470-2568-3685-3238-2625-1788-1534-2700-1430-2381-3928-1025-1873-1381-2505-3339-1275-2319-507--4001
28 22967.861 1535 4001-735-2149-1119-1731-2921-157-1891-2026-2116-233-1224-3226-3566-3634-617-434-2852-1566-1214-3368-3802-3578-3061-2596-741-2563-2581-3886-1055-3931-1528--4001
29 63862.262 1982 4001-768-1089-383-148-50-20-3789-176-2396-2486-3377-939-3468-3934-272-1608-2901-1716-181-2464-1601-2184-414-2225-622-689-853-3323-2696-1271-2196-1642-2323-3162-1416-265-22-3232-2720-2923-1796-2085-3941-788--4001
30 61933.502 1983 4001-785-2764-329-3530-3806-843-2802-3452-3994-3714-2040-1969-1331-2114-2551-413-2095-891-1618-204-3839-3670-1019-1140-3192-1784-137-660-399-248-2958-3478-634-1150-102-2402-1008--4001
31 23927.033 1565 4001-800-1792-1947-3312-446-3880-2723-3691-2438-3702-1412-876-303-346-1280-464-2698-3746-1464-1371-2119-1115-2236-3299-3188-3998-1507-2902-2929-1100-2712-173-1698--4001
32 38150.242 1992 4001-801-3538-2573-1660-3707-2718-3427-2808-2047-3211-2579-903-466-1596-1175-2151-962-679-3057-3992-914-1729-1434-2626-3881-916-2015-760-2266-2793-3273-3945-459-3933-3925-2366-2052--4001
33 51666.601 1993 4001-808-1604-624-1274-3733-3487-287-540-1142-3282-1956-1687-3847-2608-806-2882-333-1858-3668-701-1537-7-936-3731-363-2036-1760-54-1026-3040-1069-838-3099-2349-3906-2540-1859-1800-3256-1407--4001
34 21327.809 1689 4001-820-3400-3125-2543-1184-3771-2980-485-68-1959-546-2574-2522-3300-317-1940-704-1986-1968-1981-738-3342-3364-145-2276-512-99-1580-2143-1403-183-2680-51-3304--4001
35 22576.141 1420 4001-828-3098-574-1111-2845-602-4-3250-879-15-3603-2022-978-3393-2705-2853-573-2795-3642-1586-3848-1622-320-2031-835-2552-2307-276--4001
36 50738.583 1966 4001-1027-731-3213-3052-3122-2862-3741-1610-1046-1123-27-3281-1262-1033-3783-3460-1964-1510-3010-357-201-3191-503-75-3130-3446-1432-3409-677-3017-1057-164-2814-1987-552-2141-2519--4001
37 31846.087 1842 4001-1085-2048-1135-1450-131-773-3117-3747-2605-2837-2654-3137-1303-1655-2747-55-3887-2843-2896-3695-3826-3012-2193-3316-160-3588-2124-2848-871-66-1629-2913-3278-2442-3349-817--4001
38 10742.435 1023 4001-1093-2731-1147-3214-3764-2846-1989-1036-2968-1060-2976-2586-1176-1435-930-1531--4001
39 60292.104 1991 4001-1116-2251-3088-42-2906-3051-3429-2827-1492-1289-3935-3447-3252-878-2433-3917-227-1727-3897-2378-3407-1498-2819-260-957-263-3253-3055-2989-3201-572-949-693-2392-1762--4001
40 62707.040 1941 4001-1146-1338-2666-1014-2238-710-2191-663-2011-235-2424-1466-2572-1808-2338-476-2836-3287-2996-297-2284-3608-2651-254-3279-3175-2434-211-2756-1949-2609-1005-1422-2482-310-502-192--4001
41 22104.273 1399 4001-1290-2374-3661-81-631-198-639-2161-273-683-3753-678-2065-506-2436-2105-1602-259-3829-3512-3346-180-1524-348-3640-3549-1572--4001
42 19528.819 997 4001-1319-2965-56-2165-1535-46-2964-2055-605-2771-920-3693-1756-3311-2826-2660-2750--4001
43 34361.017 1725 4001-1385-3878-1084-1148-1061-376-613-2476-423-2418-144-2353-1200-2615-269-1186-1187-3455-2199-2292-3019-1923-1721-666-2715-3979-842-1155-2242-1440-3630-539-1670-441-1765-2488-105-2922-3379--4001
44 50119.324 1996 4001-1406-1793-1738-1217-2017-267-3313-2224-1603-3864-840-1830-834-2270-989-3755-2796-1728-1374-3960-335-1497-1335-2221-2229-750-2038-1070-932-2446-1402-2264-595-2711-2849-3110-2672-1067-628-2761-3724-3708-428--4001
45 27647.513 1760 4001-1452-2376-3106-325-3058-3946-2517-243-106-3023-1362-3799-1479-3676-156-457-3874-1770-1489-286-757-2166-439-206-3180-3758-1684-2697-658-1640-152-1857--4001
46 44852.873 1965 4001-1459-990-1143-2807-3189-3639-1525-992-1974-2057-24-3915-3754-3532-880-1476-1877-3698-2139-3143-1425-1868-784-1164-1656-3301-315-711-2973-1512-3909-2566-1736-2612-2661-3711-3590-786-3862--4001
47 52988.796 1892 4001-1542-2667-1397-3912-3465-2207-3949-3340-3974-3601-3853-1086-1771-1582-722-965-1919-3922-3176-501-1495-3481-582-3333-2248-2274-3001-3219-1557-2407-3366-3574-766-395-2314-3084--4001
48 44404.892 1993 4001-1549-1910-2091-3276-450-3286-2685-2956-3080-111-943-367-186-266-1045-291-1697-3641-2219-3444-84-3664-3745-532-394-3131-1327-3982-403-3570-2580-1680-1775-3977--4001
49 39932.580 1785 4001-1558-112-739-2686-1474-3923-29-71-2477-1190-2797-742-593-1922-3688-807-1673-1344-1686-1801-3830-2245-1051-1661-1449-1016-3009-2411-2493-114-2249-3679--4001
50 33434.288 1718 4001-1600-225-1244-2384-1482-140-1099-73-3236-389-2912-1197-3893-592-1216-3428-2053-361-491-2618-1251-340-3103-3294-1110-1056-1355-515-3644-725-589-1734-189-553-2967--4001
51 35518.633 1835 4001-1768-1038-149-665-2759-2857-3321-359-1009-3593-1631-3114-513-1913-2847-2318-2984-3835-2607-1607-1071-570-726-2034-304-2100-1109-579-2007-308--4001
52 20295.874 1997 4001-1787-2884-3972-890-3174-372-618-637-2504-1375-1914-3899-910-1571-385-3135-256-733-3908-904-378-2766-913-718-1358-1970-1395-712-1472-971-3761-2860-2044-2514-210-78-3424-3950--4001
53 43964.860 1816 4001-1844-3326-695-2998-2536-3567-2068-67-172-3780-454-3418-3016-3448-2263-1579-2125-2359-3151-3004-2388-58-3341-278-2013-165-948-1641-590-2419-3884--4001
54 43405.235 1704 4001-1854-3544-2876-3715-1446-1295-2935-714-1233-2128-3540-727-2521-2417-3539-1229-3097-1421-1936-3094-3952-3663-504-954-2291-1120-993-2530-3623-3654-2098--4001
55 44697.000 1713 4001-1887-2406-369-2821-3120-2089-627-2558-882-3916-563-2277-964-3500-961-200-517-1315-2995-2770-2917-2919-3594-1935-2102-3102-1568-1711-1248-1296-2232-2675-2079-1137--4001
56 43508.505 1892 4001-1896-1562-942-3687-2414-3911-3730-1807-877-770-2142-2056-1348-3361-3244-2603-1006-2781-1000-2664-2175-2243-3410-3270-636-2561-3145-1126-351-229-1360-1632-2429-585-3971--4001
57 23148.585 1569 4001-1926-3564-2369-387-3778-973-2501-2729-2077-3248-1400-2059-2045-2131-1004-1651-2789-2734-1270-330-1023-3382-1967-1929-343-1318--4001
58 14998.773 1089 4001-1976-1649-869-1654-2467-2524-2258-2880-610-2828-2784-3525-794-1882-1298-3240-2640-928-3198-3823-356--4001
59 67500.174 1982 4001-2019-2918-1091-445-2206-3794-959-1339-132-2961-2012-2941-2569-2303-1227-1619-3113-3272-2944-3797-3918-1624-900-3205-2246-470-2601-982-2088-674-3701-1393-1226-232-3292-1107-1037-1418-456-316-1948-1955-934--4001
60 47524.331 1968 4001-2054-3742-3231-1501-3430-2727-3938-1659-3166-3013-298-657-1281-3558-3472-1131-246-410-3725-1039-1867-1202-3441-224-1921-3713-3983-1945-3169-2101-2648-2748--4001
61 54025.495 1967 4001-2069-578-2322-1672-3136-603-2449-2653-696-1567-2658-2416-2604-3037-2217-2835-3488-3837-2235-775-107-781-3479-214-753-2690-1904-2681-1090-1020-2602-487-1058--4001
62 15981.736 1100 4001-2075-2037-1503-151-3511-844-2090-1806-1322-2006-3060-1169-2650-247-1228-3939-3454-207-134-995-3976-2043-2239-1254-723--4001
63 56673.965 1954 4001-2087-3821-1894-1900-354-2395-2850-242-1872-1042-818-3696-3024-854-1389-1751-2621-2431-1154-2430-2394-1017-1095-3008-473-2622-314-1152-1101-3831-1769-2454-1267-16-583-529-3844-3787-1585--4001
64 22390.909 1951 4001-2109-3955-2630-831-798-455-2991-1870-3204-1162-1669-564-72-1590-2875-3028-1998-2086-3773-744-525-3474-3737-482-531-3612-1786-1499-2021-2578-1353-1380-170-3677-1505--4001
65 48083.386 1958 4001-2112-1544-2592-2427-955-406-2585-3805-1545-3336-168-2076-2311-3706-1933-3230-3953-3723-3109-755-1384-479-3142-3709-3569-1530-3378-1653-917-652-510-166-761-438-1951-1675-135-2387-1980-1504--4001
66 18458.676 1486 4001-2122-1050-2575-2104-1373-906-3425-3380-3399-1329-2801-2825-1785-3816-2990-2494-3759-3218-2173-2531-763-1599-3705-1284-2202-2356-1420-2915-2327-2735-3653--4001
67 69324.993 1996 4001-2138-3354-2379-3225-350-511-2062-43-2905-3672-991-2475-3617-2591-3308-2948-2227-2456-2293-460-520-3464-2677-3212-2167-3258-499-324-2999-1370-2981-1866-3242-141-2178-371-1010-3107-193-299-437-2703-3813-3883-2926-239-3415--4001
68 25134.295 1906 4001-2156-769-1494-2000-332-1245-2306-1620-2986-1527-2619-855-2093-2003-1689-2993-3851-3128-1076-1203-2317-2111-975-1794-737-3995-3575-2780-2687-2873-980-197-3200-3432-1105-158--4001
69 41227.600 1992 4001-2181-3209-2466-2868-3812-2380-3196-1706-2254-3808-3645-3197-2267-1838-3980-3293-956-3390-858-1713-2642-2495-2820-3406-353-3927-11-3296-1102-2262-2208-196-809-2179-2710-3216-1011-3266-425--4001
70 15986.541 1366 4001-2223-764-2925-2704-922-3744-1258-185-2949-2451-96-2332-1543-1234-1897-2214-1104-3760-2444-169-848-1652-2971-2525-2673-1456--4001
71 43787.997 1729 4001-2255-985-2158-2520-1570-1626-1047-846-899-615-318-1424-2557-2046-2194-527-2765-1954-1679-1171-748-3819-146-2864-1757-2220-3937-1316-1992-2751-2205-968-129-883--4001
72 30307.385 1981 4001-2259-3318-205-1819-3161-3255-2954-1589-3466-2928-1001-2859-1979-1174-909-3473-1442-19-1173-2182-2891-3631-3507-1752-2547-655-1767-408-274-3978-2671-1666-1569-1391-888-1230-805-3021-3081--4001
73 42333.682 1975 4001-2294-1741-752-623-2423-2776-1235-1902-370-1551-289-3609-1584-465-478-85-21-1511-3740-3577-3527-2623-2916-1789-3734-1795-2352-1167-1995-821-3356-3352-328-2744-245-898-3700-89-215-1473--4001
74 43993.139 1828 4001-2301-1831-3803-2439-2361-262-3254-3919-3483-3233-3680-941-1515-865-813-3071-3581-1927-1879-2994-621-1062-352-234-3056-3586-2879-87-2008-2503-2507-2709-1846-2939-1457-2189-475--4001
75 17215.719 1924 4001-2302-3493-2799-3324-2370-1750-2473-2871-1628-759-692-2162-486-1605-3261-3948-3954-1243-3007-3331-3646-407-368-39-1848-3317-3958-1265-3674-452-2565-1663-3470-435-776-3149--4001
76 46338.528 1926 4001-2489-3624-2126-2082-1912-1350-415-1081-2137-988-2701-2788-277-3573-1323-2606-2373-687-2183-379-226-1560-3589-257-3337-1983-3697-3895-222-1563-1481-2136-440-2421-3673--4001
77 11647.934 692 4001-2502-1451-654-3901-386-3546-2070-972-2499-2872-125-3613-3964--4001
78 23079.295 1967 4001-2571-2261-2211-3913-1024-905-1410-3450-1766-113-2693-1250-2736-3973-2900-1149-41-3456-3486-3503-2468-2479-1419-1639-923-1-2250-2541-1890-885-1282-1937-1889-3283-162--4001
79 14787.500 1195 4001-2594-1575-3749-2375-749-644-1096-816-3622-2269-130-1064-3865-366-3867-2893-2033-3757-3528-3596-436-3434-70-873-2684--4001
80 67411.066 1996 4001-2647-559-2386-69-567-3-2947-3190-799-2951-2877-241-724-3497-2107-1774-405-575-1812-1363-1725-264-3421-2587-1703-1347-1735-474-422-2583-2798-3385-108-847-2309-2073-1078-3896-2398-619-471-1841-283-2492-2016--4001
81 28122.682 1986 4001-2702-3449-2863-3869-138-3890-3519-2096-1852-3476-2934-2737-2969-1012-2812-2960-2404-670-632-2123-756-872-2509-1909-1500-2445-1833-3437-609-2496-3669-3118-1361-918-345-155-1928--4001
82 40372.129 1969 4001-2794-3433-1072-1336-516-2539-3762-3251-2669-699-3351-1223-1225-3710-884-642-2453-2233-1394-1724-2644-598-2203-101-1068-3044-2752-327-3243-947-2172-3926-2500-837-3402-1612-2330-3776-3262-2297--4001
83 57373.572 1704 4001-2865-2763-238-2042-184-862-2526-1758-223-2460-300-1553-2840-1634-3320-1888-758-3439-1367-541-3329-3559-2966-778-391-195-3246-2559-2001-558-161-3516--4001
84 51663.126 1345 4001-2887-1643-3034-1007-1160-3203-3997-2283-2497-533-2148-2412-1125-3183-1305-3721-1755-638-3662-3620-3689-5-3792-3065-2742-3845-1447--4001
85 42998.752 1927 4001-3030-1022-3504-983-1213-2655-1791-1073-2472-3894-3435-3458-1414-3031-1616-3177-651-3690-2300-2350-1300-3651-2985-1898-2629-3499-2717-2201-1820-1592-1523-762-208-1907-2842-1836-1128-3003-528-472-3699-1445-3748-2410--4001
86 34287.760 1933 4001-3036-194-2560-950-1701-2029-2470-1578-3054-1261-3492-2554-3962-717-3827-791-1065-860-1334-3489-796-1991-3627-52-649-720-2970-64-1304-2230-2791-2806-2768-1429-1869-1633-2462-2839-1352--4001
87 14147.233 1461 4001-3043-3940-650-174-1083-3743-23-3133-1810-3957-812-3999-1676-2508-3898-3885-2132-3228-1647-2678-2452-1437-3459-2340-2197-3712--4001
88 52753.593 1593 4001-3096-2110-1715-896-2834-1313-3314-2241-1188-1372-1310-2899-2674-178-3824-412-2393-1529-3628-2910-110-1134-3859-230-3517-36-1931-1255-3580-1845-3171-1144-1718-1163-1745-2362--4001
89 31215.781 1841 4001-3101-908-2336-2028-47-3170-3391-1207-1467-3508-685-2222-1028-3652-2815-1851-3011-1215-1048-1650-1674-1513-1417-1195-1458-31-1212-1208-3083-1240-708-3275-2163--4001
90 58861.469 1984 4001-3111-3431-596-33-1911-3309-875-3355-2659-258-3369-3193-3194-3625-100-1743-3843-2878-380-653-3227-1189-921-1075-2932-2342-1782-3796-3210-2691-3241-544-3518-1113-3025-1206-1369-1273--4001
91 41202.305 1980 4001-3160-1615-1778-116-3184-3315-3187-3728-2216-915-3921-30-3392-1049-2515-1390-998-481-3076-1776-3888-3587-2624-3910-1326-633-2831-3498-3552-3729-3150-2484-822-3665--4001
92 43923.140 1963 4001-3164-2943-365-1411-3793-2256-1540-1835-1843-3079-1484-1088-697-2169-698-3548-1516-2983-2762-1209-3568-2773-1468-2459-3739-3049-1260-3068-1648-1591-952-3363-3763-3618-3678-2584-713-1097-1231--4001
93 38808.768 1947 4001-3167-974-584-2286-2377-179-1932-2577-2903-3542-2867-1377-1861-2385-2888-3647-1814-1533-576-2556-1455-734-3849-2805-3811-1122-2745-2325-870-177-2713-2474--4001
94 57861.309 1961 4001-3345-1192-3445-2749-2117-3738-3509-1597-1130-3078-2688-2992-1368-3638-1317-772-1030-3289-2553-2593-2157-3579-3975-924-2549-2732-3905-2328-1427-3477-2927-2265-1376-3598-604-3357-1031-746-2134-2714-1802-824-1997-3965-2287--4001
95 46428.976 1800 4001-3358-680-3285-3416-1856-3215-80-2282-2869-3535-580-3520-95-3042-2822-2231-586-2113-1517-250-3951-814-2357-1247-1291-37-2683-1942-664-2316-3882-886-147-2978-3288--4001
96 59588.612 1951 4001-3371-601-3561-221-2600-1645-2296-3606-2127-1365-2824-3750-1688-2940-2313-38-3029-1821-3387-1279-1485-3795-2777-302-856-2895-1325-1508-1357-1714-1158-3006-2699-2174--4001
97 35818.222 1412 4001-3388-938-1145-1082-3234-2741-2440-2516-3152-2478-1519-2209-3659-2190-3290-3389-3648-2334-2285-1170-2435-2858-2730-2106-3172-2273-1692-3396-431-3365-480-3154--4001
98 15113.579 1593 4001-3395-2870-3347-1460-484-1960-1132-1520-282-706-1211-2790-3414-3989-3506-2692-2769-2550-2498-3560-3801-3781-97-661-3443-2272-3870--4001
99 40735.669 1371 4001-3453-1121-2952-3554-1779-191-2898-1704-3510-1053-1029-2518-557-3139-1448-3372-1881-3900-931-1404-1488-937-1943-2389--4001
100 35990.976 1927 4001-3469-933-337-2892-1726-2103-3671-1220-3235-1699-826-1950-3457-1804-3717-124-1853-1781-3924-3121-59-3871-841-2058-120-3533-2657-3199-2195-3237-729-571-555-2358-2595-2528-3850-2368--4001
101 57717.022 1924 4001-3501-1433-3563-2078-2-2975-1333-88-1287-643-2348-3384-1918-897-159-2051-2413-1196-3932-1594-514-2192-2997-2930-2321-2987-417-1636-2632-2351-2023-3422-2555-521-3807-3085-2226-1292-3461--4001
102 44949.063 1694 4001-3513-163-1293-2133-2002-1805-3104-202-2212-495-424-2383-1478-3716-3981-2171-1286-3070-2345-3178-1963-1871-2312-249-3825-3656-92-702-1829-281-1172-1232-594--4001
103 13075.825 1215 4001-3531-2856-2974-3082-2982-307-2030-216-3115-427-2200-2523-1815-3936-1241-3208-488-833-3156-2931-1733-944-827-296--4001
104 92749.889 1789 4001-3600-2830-830-3284-611-2281-3127-2656-442-2014-630-976-3144-1719-1343-1382-3604-1074-1764-3267-3350-901-1222-2617-1345-1138-3397-1941-940--4001
105 21053.563 1789 4001-3614-2210-2487-1117-640-187-1780-1405-1264-61-2146-2432-220-969-3394-2180-1658-3856-1712-2240-1691-1103-3722-213-3412-3817-342-3986-388--4001
106 6634.570 434 4001-3616-682-2535-2152-1581-1379--4001
107 31001.351 1209 4001-3683-3220-3463-912-1625-2988-2512-1309-402-839-3091-1541-996-1965-190-1308-28-3330-3681-3692-1493-1813-966-3062-3828-3599-1094--4001
108 62391.154 1933 4001-3720-2072-3073-751-2308-850-1944-2613-1161-2490-3181-217-1573-44-2367-3165-3247-1276-3996-1364-432-2074-1502-2279-321-2049-3775-1256-1277-545-1546-3426-951-1720-319-1242-3621-1526--4001
109 43292.135 1994 4001-3751-3067-1883-562-3086-490-591-3338-1824-2738-560-313-1587-2447-1193-3074-1865-167-2426-1695-2450-1790-3147-1453-777-3124-728-1690-2599-3401-1609-3990-1063-3420-1438-364-2324-3322-3768-1302-2443-2289-255--4001
110 33279.074 1976 4001-3769-803-228-1263-635-2725-542-1621-3335-2679-2480-1118-3611-449-2955-1114-2760-675-2706-874-1253-3929-2818-121-2851-2018-2154-2885-1748-2753-3302-3093-3872-2897-599-3375-2147--4001
111 31155.989 1834 4001-3782-3179-271-396-823-2032-2371-1773-1151-1693-967-1431-2422-810-2441-218-3015-390-3383-1059-3327-381-252-1283-3551-409-212-3158-647-1487--4001
112 60699.533 1831 4001-3798-483-1079-960-270-3969-493-63-2716-587-119-347-360-2962-2779-887-1993-1288-280-32-1864-3496-1938-893-2829-1506-1564-2534-2288-1657-2218-3298-3132-732-2463-1678-3727-550--4001
113 44825.614 1543 4001-3875-1003-1092-3229-1903-1988-65-1957-2628-2746-461-2972-614-231-1198-2755-126-401-236-3967-98-849-1129-1483--4001
114 8884.527 950 4001-3892-1606-1952-1536-790-519-2546-568-3852-3173-3772-3543-419-2590-671-779-705-3550--4001
115 65984.371 1959 4001-3942-2914-3597-3332-1124-1707-851-1218-1346-3119-536-1710-117-1730-420-3861-2728-2041-1677-496-1598-199-2841-3719-3223-3686-2035-261-2803-421-3112-1747-1613-182-13-537-171-1077-2310-1041-3534-1341-852-3295--4001
116 13343.756 1179 4001-3943-979-2337-2598-1210-2953-3325-1387-279-3660-1035-2244-1539-1521-1739-3221-3047-3159-981--4001
117 33312.803 1849 4001-3988-468-3595-1259-404-3735-2237-2198-3265-1219-2326-2722-3961-1108-2168-1311-1811-2299-577-3206-3249-2153-2567-2823-3087-3277-1112-1705-1671-2364-3462-1509-1127--4001
118 50865.588 1171 4001-3993-3855-2775-3344-1917-1177-429-1401-2532-143-3405-3123-811-1002-3505-3626-305-3541-600-1561-294--4001
