total_number_routes=173
total_route_len=5260810.529
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
76 42107.589 1800 6002-4468-634-5200-1772-1549-4258-598-4629-2340-1407-3615-4440-1894-505-4727-5119-1629-4772-3400-3889-387-156-2430-1820-2578-962-1807-3971-2007-5780-2318-1323-3236--6002
77 15360.831 1834 6002-4510-5605-5623-3930-3725-1361-5790-2555-3924-244-5697-3633-3030-2666-1936-4781-356-4945-2152-2044-5131-3417-3754-300-1253-4127-4711--6002
78 18765.545 1928 6002-4998-2652-4728-1930-1377-1066-5003-1297-3456-3805-5976-2659-2040-3045-2367-4570-1588-1298-5992-4610-2617-2825-5537-3309-5673-2750-1212-4129-3251-4980-3936-3303-135-5425-2463-720-1374-1957-2781-2309-2331-4344--6002
79 15940.738 1456 6002-5001-2824-2383-2058-67-4056-112-3252-3416-2482-1606-4560-542-154-5548-3390-2130-1101-3553-1905-4914-1235-2672-4000--6002
80 15671.178 1197 6002-5160-4108-1538-472-1080-3001-3174-4245-2981-373-4473-1105-888-3730-3529-4516-4370-1362-2749-1777-4422-5018-1845--6002
81 24147.756 1581 6002-5176-1568-2945-5481-2180-4718-2927-1819-4607-1783-259-4020-2808-4637-4445-1423-2330-4374-4997-1306-1441-3608-284-1495-5695-4273-5249-2252-5983-2286-699-265-3113-1523-4460-2052--6002
82 28620.329 1842 6002-5359-1225-2511-4380-2657-4334-5124-2223-1650-3737-4922-5928-4379-1529-761-1367-2507-574-4413-4444-2395-2838-3830-5444-2538-3869-4196-5999-2187-132-4397-3580-4679-4725--6002
83 20147.033 1988 6002-5396-3544-2844-2094-5933-2992-1351-1565-3907-2857-1702-2665-4435-589-2734-3719-3856-2951-5514-3948-1908-3693-4771-4941-2108-1657-5038-538-4432-2056-982-4157-892-5778-2151--6002
84 15550.737 1309 6002-5534-949-4923-4209-5109-877-5235-3804-4741-2575-1039-4384-648-5841-923-1210-1040-2616-5653-5971-3903-535-426-208--6002
85 20822.653 1572 6003-258-461-3818-5635-3610-2881-2439-2783-1552-5657-1218-4911-2498-108-3049-508-443-2604-2912-330-1059-3021-1844-5985-2693-5397-460-5242-5106--6003
86 18752.356 1581 6003-818-4817-515-81-4567-2332-605-2629-2243-5783-5297-2533-4856-5331-3578-5576-5395-5993-399-5720-5253-5617-5969-3879-191-3264-1509-73-3198-2407-945-3366-1626--6003
87 36279.059 1964 6003-851-3653-3838-1985-3267-5552-2046-3747-2807-4950-1262-2118-2706-2727-3429-5538-2170-2135-5338-1628-961-5834-4541-1765-1261-5529-1611-3698-371-4376-3288-5120-5054-955-4605-3835-1740-1190--6003
88 35631.597 887 6003-967-765-4507-1900-4682-871-4483-2292-4931-568-2633-5251-3376-3105-1797-2931-2958--6003
89 40220.391 1960 6003-984-4805-2497-3159-345-3418-5347-3316-4933-1533-4033-4543-1117-2254-5440-3322-4036-3298-5644-2717-4313-4345-1785-5792-5636-2655-5435-469-3635-3378-3986-1473-2385-3019-243-4395-4486-992--6003
90 27759.592 1086 6003-1008-2168-3382-607-2023-4107-5682-2310-479-5408-4201-2380-1137-749-3452-1656-225-3262-4347-4355-806-1227-4187--6003
91 36943.114 1978 6003-1082-1177-2682-3381-3557-2510-3470-3999-2029-194-2219-4824-158-2323-1256-5259-1385-2003-814-717-1717-4549-1593-3853-72-2043-839-898-4755-4102-5196-5838-1726-3974-2776-4764-1403-1208-3684-388-5490-2877--6003
92 48038.154 1965 6003-1114-799-5355-4667-629-4059-875-385-4309-1339-4962-2402-2473-1408-3543-4503-1045-688-1001-1440-5660-3451-4816-2349-2998-3938-2225-5007-1828-3170-5779-4437-4970-1762-4350-3970-824-2010-436-1055-5935-5771-3096-5528-4031--6003
93 28050.870 1637 6003-1182-4919-4487-2129-1131-1164-4566-5807-4303-1352-576-4622-1721-4348-591-4126-2943-6000-5428-979-545-3674-2426-831-2316-3981-4017-5589--6003
94 35849.747 1924 6003-1279-5522-2495-3201-4070-4666-2355-2747-4428-775-3160-3827-5210-525-471-379-2930-1326-5900-1179-1285-3293-1945-4551-2961-5487-5648-2369-4702-610-5513-3140-5831-797-3764-1813-5672-798-5750-5610-1158--6003
95 32057.604 1941 6003-1659-2771-1631-4611-2000-4780-293-5918-689-2543-5436-879-3765-4777-4485-2030-5337-4501-1002-3570-2903-3324-3306-4439-5776-5922-4571-5011-4960-774-1458-1838-1497-3815-4601-2873-4191-157-2204-2486-4641--6003
96 35051.703 1411 6003-1864-4366-3661-5228-4357-80-3434-2447-3689-5286-5313-4831-3681-1685-1312-2294-3784-5150-262-449-3695-5952-5389-4304--6003
97 31897.993 1281 6003-2120-3526-3621-1898-2845-2758-4292-1075-2308-3028-5225-3275-746-1100-5391-3579-2960-2144-3341-2084-4964-382-1110-4683-3612-3848--6003
98 17068.657 605 6003-2698-2101-1430-409-4006-5218-5899-35-3315-693-3703-2694--6003
99 28846.424 1746 6003-2852-1741-4904-2794-188-5010-5189-1932-1112-1811-1754-2229-5607-5354-5711-2829-481-1839-130-3721-2867-825-1199-776-2481-4532-134-29-1156-3024-1405-4871-4113-1816-5698--6003
100 23969.220 1780 6003-3338-489-5984-1350-87-1180-2100-850-5772-5886-1307-1527-3481-2933-1733-5905-1428-5016-1557-248-5371-1576-4722-5246-3536-1665-5629-3258-3041-4983-5755-5457--6003
101 53492.827 1542 6003-3347-210-2818-4278-4994-4446-1122-3512-4907-843-2116-4842-5863-5181-5157-1022-4990-1041-793-1859-4324-4791-4230-4203-4973-787-3645-5151--6003
102 45790.723 1945 6003-3355-1922-249-51-1257-1734-2886-2321-2709-3046-3735-4837-2070-4839-1581-3436-203-5881-2476-2983-2917-2041-1178-365-2145-3393-1775-1595-2140-2718-4288-2319-3597-3525-5268-303-3244-5543-4040--6003
103 25299.067 1532 6003-3504-2875-1170-5205-2442-3858-4434-2387-5290-5536-5369-3678-5308-1889-5924-2840-4690-2535-1862-3235-556-171-3777-3793-3899-3246-2117-28-4886-653--6003
104 42753.757 1909 6003-3620-4153-1768-3351-867-5380-3472-4744-3998-2303-5751-4026-4353-1047-2199-5431-558-2193-1742-2942-4064-3078-477-1961-5582-312-4263-5194-3387-3330-3885-3950-5438-1755-686-5155-5740-3801-3343-4338--6003
105 51514.962 1560 6003-3688-1604-4247-5463-1429-4888-144-5321-5381-5719-1634-2416-245-3863-3791-4820-2169-3666-5078-4810-3259-701-3708-1480-2812-5575-3978-366-890-5480-1025-4342--6003
106 26888.103 1637 6003-3694-5161-2456-496-2102-4221-4305-2354-816-4784-5245-5762-2280-5310-1321-3867-4908-2600-4390-3852-2995-57-1579-3715-5964-2134-5960-1224-5511--6003
107 39008.044 1814 6003-3699-4797-5494-1303-1365-4232-2028-5254-5174-2537-5953-4613-845-4248-3629-4047-1445-133-4915-2200-4443-2006-1914-175-3961-697-1815-5919-3464-904-1809-4756--6003
108 33232.611 1955 6003-3713-4139-2159-2090-3-3617-3990-4590-1616-611-5470-1584-1192-4251-3560-4845-3498-2819-1890-2605-5350-1621-239-1216-1051-5505-4200-2315-5178-2124-1233-3628-5041-1488-5739--6003
109 28491.997 1688 6003-3991-4917-2667-5764-2768-3480-5619-453-1357-5202-4415-122-1635-633-2055-5690-5727-2773-2326-2711-1395-2973-4383-622-2344-1341-2890-2810-5234-4581-4174--6003
110 56412.862 1960 6003-4123-63-3539-3650-4596-3822-4495-3607-930-4572-5327-5053-1977-4451-256-5341-5791-2155-4818-4039-4478-4252-289-5735-242-2842-1007-4759-3884-1966-1493-1296-4639-960-2279-5149-3648-2460-2714-625--6003
111 53739.783 1936 6003-4497-100-1238-2635-4721-2972-5934-1996-918-4946-9-5608-3230-5828-2934-5204-176-1095-4482-202-3640-1139-5968-4893-3541-20-3121-762-4731-417-3455-3496-4198-5902-3117-3015-3157-60-2109-3774-1187--6003
112 30232.805 1643 6003-4979-2494-1462-4672-4331-2346-1108-2499-41-3177-139-5974-1779-1801-5492-5638-475-4063-275-3103-3080-5175-4093-4509-3833-127-104-4176-503-3882-4792-2968--6003
113 15716.208 1112 6003-5206-375-4674-2378-4271-4905-5437-5794-2549-3559-1418-1416-5318-4987-5977-4686-2653-3562-1019-3108--6003
114 41397.022 1868 6003-5432-5824-5932-463-5467-3491-2496-3095-3295-22-2049-240-2073-4552-728-599-3373-1954-1252-2739-2974-847-2039-2696-2637-4212-5271-3672-2622-5782-779-2900-1728-2969-4189-3876-82-4239-1263-394-3583-1846-2337--6003
115 27267.378 1961 6003-5812-1270-2950-1640-5742-4421-3776-4996-2791-2136-5349-5335-1970-4832-1157-5217-5098-1887-4096-3811-5047-3964-721-1188-2215-738-3164-3984-2064-551-1722-3825-4814--6003
116 21378.123 1834 6004-31-2282-423-4219-4193-1852-2985-2164-75-2699-2244-5811-4398-3188-5986-4237-5766-337-5930-5379-5979-2518-958-5806-3842-2893-4262-3040-1826-1211-2806-140--6004
117 12460.624 931 6004-169-1578-215-5074-4729-61-4854-5027-3208-3224-3255-196-861-5084-4645-705--6004
118 28502.363 1547 6004-297-4624-3910-4708-5668-4008-3132-2669-4001-44-4417-2907-2012-905-4260-3497-3200-2582-5367-900-3637-1603-401-2570-3486-458-4264-4407-4577-4544-3955-4647--6004
119 38310.846 1828 6004-613-3591-2815-2822-2975-5775-2891-642-4450-1940-3460-2281-659-3219-136-3634-1103-2970-53-4642-950-4545-4520-3663-2045-1760-447-5273-3906-5785-3182-5591-3996--6004
120 32515.871 1975 6004-703-5840-1265-4767-1678-3245-4620-4742-5442-4704-4821-279-557-2769-4254-1087-2512-3550-5102-5916-3477-5398-1413-590-441-109-636-3720-358-5378-1663-1670-2149-3196-1026--6004
121 25572.103 1687 6004-707-2982-1226-4253-669-4664-5937-3363-848-1560-943-5593-5031-2148-676-338-2414-1600-3972-4539-5844-5832-4858-1647-2483-4657-1636-434-1229-5485-5166-3055-1950-5230-2141-1444--6004
122 31643.229 1315 6004-712-252-1142-5852-3047-5154-2855-2249-921-4521-1096-2862-5073-5475-3722-931-4959-1833-2587-3902-4517-4808-4773-1853-5165-5126-2884-2736-4640-4578-5959-4019-4644--6004
123 17928.677 1966 6004-743-4956-1885-217-1448-1804-906-3311-5850-3518-1255-2936-5889-1526-2054-4811-4261-2896-305-4546-3954-1991-1747-5551-5592-822-5849-4614-3375-5847-2245-2918-1781-3995-2392-2207-4058-3677--6004
124 32227.241 1515 6004-1067-4259-5848-1269-5756-639-1993-5891-1947-1228-3584-3731-1766-2162-3847-235-2384-5656-324-4654-2490-1470-159-5781-4930-4986-3872-2658-1119--6004
125 27607.567 1916 6004-1171-1623-5503-2901-726-4499-3234-856-3789-1481-907-2805-3087-552-3873-5627-3763-1525-559-3120-2915-4369-5725-4829-5137-1083-523-1327-3854-1030-1868-1133-3701-384-521-5998-1291-5540-3826-1380-2461--6004
126 23598.626 1994 6004-1247-2848-2278-593-1886-526-770-3483-708-522-1004-4082-4090-5728-2022-2256-1808-3296-2021-5191-2368-3144-3254-125-2568-96-5121-201-2051-3060-4823-1651-2687-5558--6004
